 "experiment" , "image" , "image_url" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273215" , "http://idr.openmicroscopy.org/webclient/?show=image-273215" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179750" , "http://idr.openmicroscopy.org/webclient/?show=image-179750" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179718" , "http://idr.openmicroscopy.org/webclient/?show=image-179718" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179734" , "http://idr.openmicroscopy.org/webclient/?show=image-179734" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295870" , "http://idr.openmicroscopy.org/webclient/?show=image-295870" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223939" , "http://idr.openmicroscopy.org/webclient/?show=image-223939" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223962" , "http://idr.openmicroscopy.org/webclient/?show=image-223962" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223954" , "http://idr.openmicroscopy.org/webclient/?show=image-223954" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341909" , "http://idr.openmicroscopy.org/webclient/?show=image-341909" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273212" , "http://idr.openmicroscopy.org/webclient/?show=image-273212" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273177" , "http://idr.openmicroscopy.org/webclient/?show=image-273177" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179730" , "http://idr.openmicroscopy.org/webclient/?show=image-179730" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223946" , "http://idr.openmicroscopy.org/webclient/?show=image-223946" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450742" , "http://idr.openmicroscopy.org/webclient/?show=image-450742" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450733" , "http://idr.openmicroscopy.org/webclient/?show=image-450733" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179748" , "http://idr.openmicroscopy.org/webclient/?show=image-179748" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_399279" , "http://idr.openmicroscopy.org/webclient/?show=image-399279" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250132" , "http://idr.openmicroscopy.org/webclient/?show=image-250132" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223981" , "http://idr.openmicroscopy.org/webclient/?show=image-223981" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223985" , "http://idr.openmicroscopy.org/webclient/?show=image-223985" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295903" , "http://idr.openmicroscopy.org/webclient/?show=image-295903" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273185" , "http://idr.openmicroscopy.org/webclient/?show=image-273185" ,
