 "experiment" , "experimentStep" , "experimentInput" , "experimentInputType" , "experimentInputName" , "experimentOutput" , "experimentOutputType" , "experimentOutputName" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126183" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125701" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#ProcessedData_idr0032_1" , "https://w3id.org/reproduceme#ProcessedData" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126255" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126026" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126131" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126307" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125852" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126095" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125822" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126174" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126109" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126369" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126273" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125874" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126463" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125768" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125970" , "https://w3id.org/reproduceme#Image" ,  ,
